iter	Logloss	Accuracy	F1
215	0.3217883069	0.8877245509	0.8373101952
216	0.3211591279	0.8922155689	0.8434782609
217	0.3201618836	0.8922155689	0.8434782609
218	0.3197641709	0.8922155689	0.8434782609
219	0.319620635	0.8922155689	0.8434782609
220	0.3196179255	0.8922155689	0.8434782609
221	0.3194516145	0.8922155689	0.8434782609
222	0.3194492804	0.8922155689	0.8434782609
223	0.3194209388	0.8922155689	0.8434782609
224	0.3191670579	0.8892215569	0.8384279476
225	0.3186720426	0.8892215569	0.8384279476
226	0.3180586061	0.8892215569	0.8384279476
227	0.3172180378	0.8937125749	0.8459869848
228	0.3166533952	0.8937125749	0.8459869848
229	0.3166428161	0.8937125749	0.8459869848
230	0.3165594596	0.8937125749	0.8459869848
231	0.316535347	0.8937125749	0.8459869848
232	0.3160546773	0.8937125749	0.8459869848
233	0.3158872207	0.8937125749	0.8459869848
234	0.3155405295	0.8937125749	0.8459869848
235	0.315142136	0.8937125749	0.8459869848
236	0.314801715	0.8952095808	0.847826087
237	0.3145568856	0.8952095808	0.847826087
238	0.3139876268	0.8952095808	0.847826087
239	0.313884693	0.8952095808	0.847826087
240	0.3133804232	0.8952095808	0.847826087
241	0.313266374	0.8952095808	0.847826087
242	0.3125873942	0.8952095808	0.847826087
243	0.3125716032	0.8952095808	0.847826087
244	0.3124107141	0.8952095808	0.847826087
245	0.3120558078	0.8952095808	0.847826087
246	0.3118030221	0.8952095808	0.847826087
247	0.3115541349	0.8952095808	0.847826087
248	0.3113835662	0.8952095808	0.847826087
249	0.3109113639	0.8952095808	0.847826087
250	0.3105904237	0.8952095808	0.847826087
251	0.3104614244	0.8952095808	0.847826087
252	0.3102894099	0.8952095808	0.847826087
253	0.3098848569	0.8952095808	0.847826087
254	0.3096089703	0.8952095808	0.847826087
255	0.3095388904	0.8967065868	0.8503253796
256	0.3093805705	0.8967065868	0.8503253796
257	0.3089447175	0.8952095808	0.8484848485
258	0.3088279015	0.8952095808	0.8484848485
259	0.3084806138	0.8952095808	0.8484848485
260	0.3083580899	0.8952095808	0.8484848485
261	0.3076091936	0.8967065868	0.8503253796
262	0.3073588564	0.8967065868	0.8503253796
263	0.3069483482	0.8967065868	0.8503253796
264	0.3069207718	0.8967065868	0.8503253796
265	0.3068479252	0.8967065868	0.8503253796
266	0.3066469675	0.8967065868	0.8503253796
267	0.3062193496	0.8967065868	0.8503253796
268	0.3055804488	0.8967065868	0.8503253796
269	0.3055582223	0.8967065868	0.8503253796
270	0.3052150577	0.8967065868	0.8503253796
271	0.3049012908	0.8967065868	0.8503253796
272	0.303985145	0.8982035928	0.8528138528
273	0.3037785545	0.8982035928	0.8528138528
274	0.303582366	0.8982035928	0.8528138528
275	0.3034915988	0.8982035928	0.8528138528
276	0.3030852202	0.8982035928	0.8528138528
277	0.3030279104	0.8982035928	0.8528138528
278	0.3027175773	0.8982035928	0.8528138528
279	0.3026976016	0.8982035928	0.8528138528
280	0.3024985567	0.8982035928	0.8528138528
281	0.302286243	0.8982035928	0.8528138528
282	0.3018640709	0.8982035928	0.8528138528
283	0.3014806837	0.8982035928	0.8528138528
284	0.3012909165	0.8982035928	0.8528138528
285	0.3012585315	0.8982035928	0.8528138528
286	0.3011758088	0.8982035928	0.8528138528
287	0.3007872069	0.8967065868	0.8509719222
288	0.3004516018	0.8982035928	0.8534482759
289	0.3003341157	0.8982035928	0.8534482759
290	0.3001110065	0.8982035928	0.8534482759
291	0.300049634	0.8982035928	0.8534482759
292	0.2995600577	0.8982035928	0.8534482759
293	0.2995112084	0.8997005988	0.8552915767
294	0.2988606451	0.8982035928	0.8534482759
295	0.2979923608	0.8982035928	0.8534482759
296	0.2968685333	0.8997005988	0.8559139785
297	0.2961210364	0.8997005988	0.8559139785
298	0.2958292939	0.9011976048	0.8577586207
299	0.2956822003	0.9011976048	0.8577586207
300	0.2953613922	0.9011976048	0.8577586207
301	0.295273806	0.9011976048	0.8577586207
302	0.2948477167	0.9011976048	0.8577586207
303	0.2947886596	0.9011976048	0.8577586207
304	0.2942320304	0.9011976048	0.8577586207
305	0.2934925801	0.9026946108	0.8602150538
306	0.2920349587	0.9041916168	0.8620689655
307	0.2918578573	0.9041916168	0.8620689655
308	0.2915460077	0.9041916168	0.8620689655
309	0.2909860062	0.9026946108	0.8602150538
310	0.2903803825	0.9026946108	0.8602150538
311	0.2902808099	0.9026946108	0.8602150538
312	0.290126119	0.9026946108	0.8602150538
313	0.2900675212	0.9026946108	0.8602150538
314	0.2899134863	0.9026946108	0.8602150538
315	0.2898120096	0.9026946108	0.8602150538
316	0.2896254464	0.9026946108	0.8602150538
317	0.2891237038	0.9026946108	0.8602150538
318	0.2890842877	0.9026946108	0.8602150538
319	0.2887371305	0.9026946108	0.8602150538
320	0.2887142319	0.9026946108	0.8602150538
321	0.2886277948	0.9026946108	0.8602150538
322	0.288434202	0.9026946108	0.8602150538
323	0.2882762179	0.9026946108	0.8602150538
324	0.2880824537	0.9026946108	0.8602150538
325	0.2877656026	0.9026946108	0.8602150538
326	0.2876274316	0.9041916168	0.8620689655
327	0.2875342073	0.9041916168	0.8620689655
328	0.287131828	0.9041916168	0.8620689655
329	0.2867026212	0.9041916168	0.8620689655
330	0.2864792037	0.9041916168	0.8620689655
331	0.2861154185	0.9041916168	0.8620689655
332	0.2858819749	0.9041916168	0.8620689655
333	0.2856556453	0.9041916168	0.8620689655
334	0.2854156863	0.9041916168	0.8620689655
335	0.2849714386	0.9041916168	0.8620689655
